,n=10,n=20,n=30,n=40,n=50,n=60,n=70,n=80,n=90,n=100,n=110,n=120,n=130,n=140,n=150,n=160,n=170,n=180,n=190
p=0.1,0.0064623355865478516,0.0001609325408935547,0.00020694732666015625,0.00018477439880371094,0.0003819465637207031,0.0005247592926025391,0.0007874965667724609,0.0009965896606445312,0.0014777183532714844,0.0017397403717041016,0.002175569534301758,0.002643585205078125,0.03473544120788574,0.010159730911254883,0.014455795288085938,0.013498067855834961,0.008147001266479492,0.006851673126220703,0.00683140754699707
p=0.2,0.00011205673217773438,8.106231689453125e-05,0.00014257431030273438,0.00027751922607421875,0.0004286766052246094,0.0007100105285644531,0.0009777545928955078,0.0014238357543945312,0.001209259033203125,0.0016574859619140625,0.002142190933227539,0.003040790557861328,0.008315324783325195,0.0096282958984375,0.011890172958374023,0.01085805892944336,0.012613534927368164,0.01812005043029785,0.02071857452392578
p=0.3,0.00011181831359863281,8.7738037109375e-05,0.00015211105346679688,0.0003364086151123047,0.0004363059997558594,0.0006530284881591797,0.0010371208190917969,0.0014684200286865234,0.0018928050994873047,0.002720355987548828,0.004387378692626953,0.00560450553894043,0.012602090835571289,0.013342142105102539,0.01537013053894043,0.017636537551879883,0.016111135482788086,0.01865553855895996,0.027470827102661133
p=0.4,0.0001895427703857422,0.0001652240753173828,0.0002720355987548828,0.0004425048828125,0.0006365776062011719,0.0010416507720947266,0.0013556480407714844,0.0018625259399414062,0.0024924278259277344,0.003269195556640625,0.0042209625244140625,0.0042498111724853516,0.009295463562011719,0.009979009628295898,0.01085352897644043,0.011696815490722656,0.012787342071533203,0.013770580291748047,0.019347190856933594
p=0.5,0.0001506805419921875,0.00017213821411132812,0.0002548694610595703,0.00034499168395996094,0.0005178451538085938,0.0008170604705810547,0.0011086463928222656,0.0014798641204833984,0.0020265579223632812,0.002646207809448242,0.0033795833587646484,0.004255771636962891,0.00771021842956543,0.005339145660400391,0.007919073104858398,0.008043050765991211,0.009791851043701172,0.011481523513793945,0.020754575729370117
p=0.6,0.00017547607421875,0.00016736984252929688,0.0003197193145751953,0.0003819465637207031,0.00043487548828125,0.0008368492126464844,0.0010051727294921875,0.0012905597686767578,0.001916646957397461,0.0024080276489257812,0.0030748844146728516,0.0042226314544677734,0.009004831314086914,0.009580135345458984,0.015013456344604492,0.012756109237670898,0.01347494125366211,0.013779878616333008,0.019917726516723633
p=0.7,0.0001685619354248047,8.893013000488281e-05,0.00022339820861816406,0.0002713203430175781,0.00044608116149902344,0.0006055831909179688,0.001117706298828125,0.0015900135040283203,0.0015459060668945312,0.0020322799682617188,0.003820657730102539,0.005198955535888672,0.010598897933959961,0.011159896850585938,0.009891986846923828,0.012216806411743164,0.016597270965576172,0.013421058654785156,0.016182899475097656
p=0.8,0.00015234947204589844,0.000148773193359375,0.0003581047058105469,0.0003039836883544922,0.00047397613525390625,0.0006208419799804688,0.0008909702301025391,0.0012085437774658203,0.0016698837280273438,0.0021157264709472656,0.0027618408203125,0.0034258365631103516,0.008067846298217773,0.012565851211547852,0.011407136917114258,0.01250147819519043,0.012408256530761719,0.013157844543457031,0.014523029327392578
p=0.9,8.58306884765625e-05,6.008148193359375e-05,0.00011467933654785156,0.0001811981201171875,0.0002789497375488281,0.00044345855712890625,0.0008347034454345703,0.0012962818145751953,0.0017285346984863281,0.002275228500366211,0.0029163360595703125,0.003563404083251953,0.011098146438598633,0.009790182113647461,0.010800600051879883,0.01243138313293457,0.016452312469482422,0.013896703720092773,0.01794123649597168
