beta,mcmc_magnetization,mcmc_std,pw_magnetization,pw_std,pw_coalescence_mean,pw_coalescence_max,mcmc_time,pw_time
0.0,-0.004722222222222225,0.07908670425629998,-0.017777777777777778,0.06267198558987722,1.0,1,1.091865062713623,0.03648209571838379
0.1,-0.014444444444444447,0.09103146925685496,-0.005833333333333336,0.09162835899894478,5.16,8,1.085167646408081,0.3468341827392578
0.2,0.008611111111111113,0.10635261928899369,-0.027500000000000004,0.12991836230570925,10.88,32,1.105809211730957,0.702812910079956
0.30000000000000004,0.03416666666666667,0.19049987038652794,0.00972222222222222,0.18522279710635306,26.08,64,1.0787503719329834,1.7317895889282227
0.4,0.032499999999999994,0.3243537021124841,-0.025833333333333333,0.31303978073239774,89.6,256,1.2825722694396973,5.86666202545166
0.5,0.16499999999999995,0.6615582054961295,0.1022222222222222,0.685462806619921,878.08,4096,1.3214075565338135,66.14516997337341
0.6000000000000001,-0.41805555555555546,0.8128212407052141,0.03333333333333334,0.8109303451538598,20044.0,50000,1.5947680473327637,505.92027735710144
0.7000000000000001,-0.9555555555555555,0.0814130604986269,0.17777777777777776,0.3867400951990469,80051.2,100000,1.8237030506134033,371.71394062042236
0.8,-0.9652777777777779,0.044030187455964896,0.13055555555555556,0.049378857873975494,100000.0,100000,1.6373648643493652,461.106570482254
0.9,-0.9868055555555555,0.019382341301323422,0.03888888888888889,0.1077262190536962,100000.0,100000,1.6365880966186523,459.31871938705444
1.0,0.9965277777777779,0.01232516621479087,-0.033333333333333326,0.058663089116507985,100000.0,100000,1.608816385269165,473.5488212108612
