,n=10,n=20,n=30,n=40,n=50,n=60,n=70,n=80,n=90,n=100,n=110,n=120,n=130,n=140,n=150,n=160,n=170,n=180,n=190
p=0.1,0.0032558441162109375,0.0014801025390625,0.0016083717346191406,0.002393007278442383,0.0031011104583740234,0.004065752029418945,0.005822181701660156,0.00736546516418457,0.01064610481262207,0.0138397216796875,0.017343759536743164,0.02116107940673828,0.04088616371154785,0.04931521415710449,0.053501129150390625,0.06470060348510742,0.060363054275512695,0.06603026390075684,0.06622004508972168
p=0.2,0.0006456375122070312,0.0003757476806640625,0.0006520748138427734,0.0012068748474121094,0.002123117446899414,0.0028181076049804688,0.004740715026855469,0.009222030639648438,0.01511693000793457,0.01884317398071289,0.023496150970458984,0.02867746353149414,0.03841209411621094,0.04675793647766113,0.05607485771179199,0.058495521545410156,0.0628361701965332,0.07255291938781738,0.08185839653015137
p=0.3,0.0010216236114501953,0.0011725425720214844,0.001600027084350586,0.0025970935821533203,0.0040853023529052734,0.00593256950378418,0.008419990539550781,0.009548664093017578,0.015398263931274414,0.01897120475769043,0.023500919342041016,0.0321347713470459,0.06177163124084473,0.05709195137023926,0.07020306587219238,0.05653071403503418,0.06622648239135742,0.07462525367736816,0.08455491065979004
p=0.4,0.00042510032653808594,0.0008444786071777344,0.0015869140625,0.002592325210571289,0.004051923751831055,0.005997419357299805,0.008322477340698242,0.011405706405639648,0.014756202697753906,0.0188901424407959,0.023452281951904297,0.02740764617919922,0.03882861137390137,0.04654502868652344,0.05644941329956055,0.059320926666259766,0.11313462257385254,0.07487964630126953,0.08272838592529297
p=0.5,0.0007603168487548828,0.0005757808685302734,0.0011470317840576172,0.0025968551635742188,0.003907680511474609,0.005763053894042969,0.008112430572509766,0.011113405227661133,0.014497518539428711,0.01833796501159668,0.02267313003540039,0.026519298553466797,0.024801254272460938,0.04295778274536133,0.05978846549987793,0.05096244812011719,0.05917525291442871,0.06483626365661621,0.08251285552978516
p=0.6,0.0006241798400878906,0.00042510032653808594,0.0006611347198486328,0.0013494491577148438,0.0032052993774414062,0.0058138370513916016,0.00812387466430664,0.011287689208984375,0.014616250991821289,0.01867508888244629,0.023094654083251953,0.02764129638671875,0.03782200813293457,0.04543280601501465,0.05602288246154785,0.059503793716430664,0.06745219230651855,0.07663178443908691,0.0923759937286377
p=0.7,0.0004532337188720703,0.0008518695831298828,0.0017173290252685547,0.002811908721923828,0.004426479339599609,0.006475210189819336,0.00895071029663086,0.012422561645507812,0.015734434127807617,0.02006220817565918,0.02472686767578125,0.028046131134033203,0.04225492477416992,0.05209612846374512,0.0582127571105957,0.0610814094543457,0.07932734489440918,0.07631230354309082,0.08152031898498535
p=0.8,0.00021958351135253906,0.0003654956817626953,0.03191709518432617,0.17259550094604492,0.3043375015258789,0.44857358932495117,-1.029367446899414,0.7970631122589111,1.0039715766906738,1.217301845550537,1.429197072982788,1.6060545444488525,2.0001182556152344,2.491011142730713,2.8934342861175537,4.725655794143677,5.13307785987854,6.075857639312744,4.336319208145142
p=0.9,0.0008096694946289062,0.017786264419555664,0.17026948928833008,0.27324581146240234,0.42160987854003906,0.5826513767242432,0.7483763694763184,0.8818471431732178,1.0496444702148438,1.2663428783416748,1.5475373268127441,1.917794942855835,2.2498810291290283,2.624652624130249,3.0107574462890625,4.885120630264282,5.887652397155762,4.2703893184661865,7.031264066696167
