,n=10,n=20,n=30,n=40,n=50,n=60,n=70,n=80,n=90,n=100,n=110,n=120,n=130,n=140,n=150,n=160,n=170,n=180,n=190
p=0.1,0.00046944618225097656,0.0003902912139892578,0.00022745132446289062,0.00020933151245117188,0.0003590583801269531,0.00049591064453125,0.0009677410125732422,0.0013287067413330078,0.0018796920776367188,0.0024404525756835938,0.0025856494903564453,0.003303050994873047,0.009373188018798828,0.010389089584350586,0.01005411148071289,0.01581120491027832,0.011574268341064453,0.007172822952270508,0.0074214935302734375
p=0.2,0.00013875961303710938,0.0001201629638671875,0.00019311904907226562,0.0002987384796142578,0.00044989585876464844,0.0006592273712158203,0.0010039806365966797,0.0012159347534179688,0.0017614364624023438,0.0019314289093017578,0.002467632293701172,0.003734111785888672,0.010404348373413086,0.010667562484741211,0.013553857803344727,0.01194453239440918,0.01534128189086914,0.01703953742980957,0.020518064498901367
p=0.3,0.0001385211944580078,0.0001373291015625,0.0001862049102783203,0.00029349327087402344,0.0007650852203369141,0.0009829998016357422,0.001445770263671875,0.0018999576568603516,0.002695322036743164,0.0025031566619873047,0.003323078155517578,0.004693269729614258,0.009322881698608398,0.009009122848510742,0.01578354835510254,0.014377355575561523,0.013591289520263672,0.012846231460571289,0.014247417449951172
p=0.4,7.271766662597656e-05,5.412101745605469e-05,9.083747863769531e-05,0.00015854835510253906,0.0002529621124267578,0.0003788471221923828,0.0006070137023925781,0.0008840560913085938,0.0011441707611083984,0.001436471939086914,0.0019652843475341797,0.0027260780334472656,0.007036924362182617,0.009027481079101562,0.011353492736816406,0.015580177307128906,0.0167999267578125,0.01656174659729004,0.018652915954589844
p=0.5,0.0004627704620361328,0.00011086463928222656,0.00022530555725097656,0.00024199485778808594,0.00037980079650878906,0.0005228519439697266,0.0007977485656738281,0.00102996826171875,0.0015282630920410156,0.0019791126251220703,0.0025496482849121094,0.003161907196044922,0.0072154998779296875,0.007385730743408203,0.013004064559936523,0.010764122009277344,0.013157844543457031,0.013557910919189453,0.017017126083374023
p=0.6,0.00010943412780761719,8.58306884765625e-05,0.00014662742614746094,0.00024962425231933594,0.0004177093505859375,0.0006756782531738281,0.0009315013885498047,0.0013644695281982422,0.0018618106842041016,0.002351999282836914,0.003083467483520508,0.0038433074951171875,0.009166479110717773,0.008208036422729492,0.009267330169677734,0.010977029800415039,0.011125564575195312,0.011508941650390625,0.01563739776611328
p=0.7,7.700920104980469e-05,5.7220458984375e-05,9.489059448242188e-05,0.0001652240753173828,0.0002665519714355469,0.0004570484161376953,0.0006506443023681641,0.0008335113525390625,0.0010898113250732422,0.0014255046844482422,0.0017833709716796875,0.002216339111328125,0.0064697265625,0.009924650192260742,0.009351015090942383,0.011304378509521484,0.015601158142089844,0.013929128646850586,0.015861988067626953
p=0.8,0.00010538101196289062,0.00010657310485839844,0.0001842975616455078,0.0003066062927246094,0.00046181678771972656,0.0005891323089599609,0.0008571147918701172,0.0011570453643798828,0.0016241073608398438,0.0020508766174316406,0.0027015209197998047,0.0033621788024902344,0.0077457427978515625,0.011851072311401367,0.010248899459838867,0.012186050415039062,0.013571977615356445,0.014055013656616211,0.016019105911254883
p=0.9,0.00011324882507324219,0.0001087188720703125,0.00018525123596191406,0.0003039836883544922,0.00042700767517089844,0.0006375312805175781,0.0009419918060302734,0.0011701583862304688,0.0016770362854003906,0.0021514892578125,0.0034933090209960938,0.004869937896728516,0.015746116638183594,0.009629964828491211,0.010018587112426758,0.01314091682434082,0.01924753189086914,0.01790595054626465,0.01923847198486328
